[2023-08-21 17:11:51.091] [info]  [db] Initialized DB client
[2023-08-21 17:11:51.793] [warn]  The vm module of Node.js is deprecated in the renderer process and will be removed.
[2023-08-21 17:11:51.822] [warn]  The vm module of Node.js is deprecated in the renderer process and will be removed.
[2023-08-21 17:11:54.212] [warn]  The vm module of Node.js is deprecated in the renderer process and will be removed.
[2023-08-21 17:11:54.848] [info]  [FileSystemDriver] Initialized in "/home/andre/.config/Insomnia/version-control"
[2023-08-21 17:11:54.848] [info]  [sync] checking for collections which need to be moved into a remote project
[2023-08-21 17:11:54.850] [info]  [FileSystemDriver] Initialized in "/home/andre/.config/Insomnia/version-control"
[2023-08-21 17:12:00.760] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:00.789] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:00.821] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:00.829] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:06.140] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:06.142] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:06.155] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:06.156] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:09.056] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:09.056] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:09.142] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:09.142] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:11.852] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:11.853] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:12.091] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:12.091] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:12.205] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:12.206] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:12.347] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:12.348] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:12.391] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:12.392] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:24.971] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:24.972] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:24.982] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:24.983] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
[2023-08-21 17:12:26.889] [warn]  An aria-label or aria-labelledby prop is required for accessibility.
